MetabolightsId	InChIKey	HasPathways	KEGGPathways	WikiPathways	ReactomePathways
MTBLC11230	DEGUCPPGAZTULS-UJSHPDKWSA-N	1		WP2740,WP3103	R-HSA-1483191,R-XTR-1483191,R-SSC-1483191,R-CEL-1483191,R-CFA-1483191,R-BTA-1483191,R-MMU-1483191,R-GGA-1483191,R-RNO-1483191,R-OSA-1483191,R-ATH-1483191,R-DME-1483191,R-TGU-1483191,R-SCE-1483191,R-DDI-1483191,R-DRE-1483191
MTBLC112372	GXETZCPEKGYDMN-UHFFFAOYSA-N	0			
MTBLC112388	OADPHFIKCARYPP-UHFFFAOYSA-N	0			
MTBLC112395	VIWSLCCWPMJBQT-UHFFFAOYSA-N	0			
MTBLC112505	LDDGYUIUMXQXGN-KRQFVHPKSA-N	0			
MTBLC112668	LUDFMDONZJCSHW-UHFFFAOYSA-N	0			
MTBLC112711	VEVKWVQUDOOCJS-UHFFFAOYSA-N	0			
MTBLC112755	XKDCHFULABXDBT-UHFFFAOYSA-N	0			
MTBLC112775	HKBYEHNTKISRIN-SJORKVTESA-N	0			
MTBLC113037	YPJKYBSCZLMZHS-UHFFFAOYSA-N	0			
MTBLC11305	YJCJVMMDTBEITC-UHFFFAOYSA-M	0			
MTBLC11320	BYCZEMFWXYCUSJ-UHFFFAOYSA-M	0			
MTBLC113247	RZWNXLICCRVKFW-UHFFFAOYSA-N	0			
MTBLC113373	NBPUSGBJDWCHKC-UHFFFAOYSA-M	0			
MTBLC113449	ZLVSYODPTJZFMK-UHFFFAOYSA-M	0			
MTBLC113451	PPASLZSBLFJQEF-RXSVEWSESA-M	0			
MTBLC113455	WXMKPNITSTVMEF-UHFFFAOYSA-M	0			
MTBLC11408	CXMBCXQHOXUCEO-UHFFFAOYSA-L	0			
MTBLC11412	SBZWTSHAFILOTE-SOUVJXGZSA-N	0			
MTBLC114126	UDWXLZLRRVQONG-UHFFFAOYSA-M	0			
MTBLC114183	AGKRHAILCPYNFH-UHFFFAOYSA-N	0			
MTBLC1142	VPGPQVKJUYKKNN-AWYLAFAOSA-N	0			
MTBLC114202	RCRCTBLIHCHWDZ-UHFFFAOYSA-N	0			
MTBLC114209	SWJLTKXURNHVHE-UHFFFAOYSA-N	0			
MTBLC114379	SKIUFFVGBXNDNP-UHFFFAOYSA-N	0			
MTBLC11449	RXMWXENJQAINCC-DMTCNVIQSA-M	0			
MTBLC114635	NRFSRNQYQZSBOL-UHFFFAOYSA-N	0			
MTBLC1148	AFENDNXGAFYKQO-UHFFFAOYSA-N	0			
MTBLC114953	NTNWOCRCBQPEKQ-YFKPBYRVSA-O	0			
MTBLC114954	NCTHNHPAQAVBEB-WGCWOXMQSA-M	0			
MTBLC115	TUXCLJQCYVCGDW-LBPRGKRZSA-N	0			
MTBLC11502	MZKZFZRBZNYKEI-JHELZGSHSA-N	0			
MTBLC115196	YEDUAINPPJYDJZ-UHFFFAOYSA-N	0			
MTBLC115197	FZHLWVUAICIIPW-UHFFFAOYSA-M	0			
MTBLC115218	AMPUNKYTTFDUHI-PNHWDRBUSA-N	0			
MTBLC115240	SMPRZROHMIPVJH-NCOIDOBVSA-N	0			
MTBLC1156	SWINWPBPEKHUOD-JPVZDGGYSA-N	0			
MTBLC11561	PKVVTUWHANFMQC-UHFFFAOYSA-M	0			
MTBLC11563	KBDKAJNTYKVSEK-VPENINKCSA-N	1	ko00030,ko00240	WP1848,WP1684,WP1694,WP228,WP220	R-HSA-71336,R-XTR-71336,R-SSC-71336,R-CEL-71336,R-CFA-71336,R-BTA-71336,R-SPO-71336,R-MMU-71336,R-GGA-71336,R-RNO-71336,R-PFA-71336,R-DRE-71336,R-DME-71336,R-TGU-71336,R-SCE-71336,R-DDI-71336
MTBLC1157	SUMDYPCJJOFFON-UHFFFAOYSA-N	0			
MTBLC115705	DQWWOGMLOVWNHI-UHFFFAOYSA-N	0			
MTBLC11594	PMOWTIHVNWZYFI-UHFFFAOYSA-M	0			
MTBLC115959	JZNSXOIDABQZGB-UHFFFAOYSA-N	0			
MTBLC11596	HWXBTNAVRSUOJR-UHFFFAOYSA-L	0			
MTBLC11614	PMWATMXOQQZNBX-DJVIHCHSSA-N	0			
MTBLC1162	ZBCBETMBSDTINL-WFTYEQLWSA-N	0			
MTBLC116226	FYPZIBYFXYXILV-UHFFFAOYSA-N	0			
MTBLC116278	ZEKZLJVOYLTDKK-UHFFFAOYSA-N	0			
MTBLC116279	TZXQUBLGYHZQOH-UHFFFAOYSA-N	0			
